1,"mod1a","a22b2d50h40","weak",3,5,18,20,31,27,32,41,58,52,60,67,71,47,51,43,54,29,15,21,15,6,3,6,11,4,3,4,2,8,4
2,"mod1a","a22b2d50h40","weak",3,2,5,9,16,29,56,46,72,70,72,71,70,66,64,36,42,23,17,10,10,7,5,5,3,4,5,4,2,2,1
3,"mod1a","a22b2d50h40","weak",3,2,9,13,25,41,38,59,55,57,63,59,73,57,72,45,48,37,20,9,12,13,10,8,5,9,4,5,3,4,4
4,"mod1a","a22b2d50h40","weak",3,3,7,15,31,56,47,51,65,79,76,57,77,59,39,39,35,17,14,9,5,12,6,6,6,5,3,4,3,5,1
5,"mod1a","a22b2d50h40","weak",3,2,5,10,15,28,40,34,33,57,52,70,81,66,70,63,59,45,27,22,20,14,9,7,7,9,4,5,3,4,3
6,"mod1a","a22b2d50h40","weak",3,3,8,23,26,49,45,61,78,69,70,80,71,51,39,37,20,21,14,12,9,4,8,4,8,4,6,4,6,2,2
7,"mod1a","a22b2d50h40","weak",3,5,7,14,33,49,34,45,51,62,70,55,78,58,55,37,38,29,16,21,14,7,2,8,8,1,2,1,0,0,1
8,"mod1a","a22b2d50h40","weak",3,6,12,19,36,56,47,55,50,58,70,52,68,58,42,37,39,33,13,19,11,7,7,10,9,8,6,1,1,2,1
9,"mod1a","a22b2d50h40","weak",3,3,1,6,10,15,31,61,37,40,61,59,50,73,63,51,49,38,39,28,24,15,11,9,5,12,6,6,3,6,4
10,"mod1a","a22b2d50h40","weak",3,2,5,13,21,31,60,48,55,70,77,79,73,67,62,50,36,30,15,15,10,6,10,9,6,3,4,7,3,1,1
11,"mod1a","a22b2d50h40","weak",3,3,2,6,12,23,48,39,54,60,64,69,54,68,62,49,44,30,23,14,13,12,4,14,12,5,10,14,5,7,4
12,"mod1a","a22b2d50h40","weak",3,4,5,10,18,32,57,40,67,60,79,67,67,71,52,46,35,34,21,15,11,8,6,8,6,7,3,3,3,0,1
13,"mod1a","a22b2d50h40","weak",3,6,7,10,22,42,67,70,83,68,76,79,62,59,42,38,17,17,7,5,7,9,6,4,2,4,2,2,2,1,1
14,"mod1a","a22b2d50h40","weak",3,7,10,21,42,72,61,71,76,77,60,53,57,52,36,35,19,21,18,12,10,6,5,9,5,3,2,0,1,0,0
15,"mod1a","a22b2d50h40","weak",3,7,8,17,24,43,36,41,52,59,66,67,65,69,55,44,44,29,25,16,16,12,7,11,6,3,9,5,7,4,7
16,"mod1a","a22b2d50h40","weak",3,4,5,10,15,26,47,40,55,68,64,77,77,74,67,52,31,37,26,25,14,14,10,6,7,4,2,5,4,3,1
17,"mod1a","a22b2d50h40","weak",3,5,1,7,20,40,54,45,57,74,73,69,69,55,50,39,39,30,19,14,13,11,5,14,8,8,2,6,5,5,3
18,"mod1a","a22b2d50h40","weak",3,6,8,13,27,37,36,47,56,60,63,65,59,55,74,53,39,34,27,16,10,11,13,8,8,4,9,2,2,2,2
19,"mod1a","a22b2d50h40","weak",3,7,8,24,40,49,58,62,80,71,78,77,61,54,38,25,24,19,14,8,9,2,8,2,8,4,4,6,2,3,4
20,"mod1a","a22b2d50h40","weak",3,2,4,8,15,29,50,54,64,66,65,76,61,72,55,44,41,37,16,11,8,6,9,6,4,3,2,1,2,3,1
1,"mod1a","a22b2d65h40","med",3,5,18,20,31,18,26,35,41,29,30,36,31,27,25,28,19,18,15,10,17,13,11,29,9,8,7,9,7,16,13
2,"mod1a","a22b2d65h40","med",3,2,5,9,16,29,56,34,52,55,41,54,48,44,36,30,19,23,16,20,12,8,8,23,20,19,11,6,5,11,7
3,"mod1a","a22b2d65h40","med",3,2,9,13,25,41,29,30,27,34,27,36,31,45,35,34,33,33,25,22,20,15,18,8,10,10,15,9,15,15,18
4,"mod1a","a22b2d65h40","med",3,3,7,15,31,56,36,38,43,46,45,39,37,30,29,23,16,16,9,17,9,10,16,28,21,15,6,9,6,15,12
5,"mod1a","a22b2d65h40","med",3,2,5,10,15,28,40,26,24,28,28,39,36,37,38,37,29,32,35,27,23,26,25,13,8,7,4,14,9,8,9
6,"mod1a","a22b2d65h40","med",3,3,8,23,26,49,34,41,45,44,38,53,37,29,25,30,25,27,15,15,8,6,24,13,18,5,8,12,11,6,11
7,"mod1a","a22b2d65h40","med",3,5,7,14,33,49,21,36,31,36,37,32,27,26,18,19,31,32,16,16,15,16,11,11,13,19,25,18,4,13,7
8,"mod1a","a22b2d65h40","med",3,6,12,19,36,56,34,46,29,31,38,25,32,28,35,26,22,20,15,9,9,13,31,31,7,12,9,6,11,16,18
9,"mod1a","a22b2d65h40","med",3,3,1,6,10,15,31,61,30,36,42,42,25,45,40,24,35,31,28,21,21,21,12,6,5,17,15,9,12,4,17
10,"mod1a","a22b2d65h40","med",3,2,5,13,21,31,60,34,35,41,44,33,35,40,37,23,29,21,20,16,12,12,6,16,10,11,15,17,24,7,3
11,"mod1a","a22b2d65h40","med",3,3,2,6,12,23,48,21,41,36,35,29,27,34,29,18,13,12,16,14,10,5,22,20,24,15,11,13,10,24,24
12,"mod1a","a22b2d65h40","med",3,4,5,10,18,32,57,29,47,37,54,45,53,42,36,35,19,21,18,8,7,8,11,17,15,18,4,3,11,11,8
