1,"mod1a",3,5,18,20,31,55,75,101,134,134,151,101,70,36,16,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"mod1a",3,2,5,9,16,29,56,88,144,172,156,113,76,56,28,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"mod1a",3,2,9,13,25,41,71,119,131,156,142,103,70,34,30,14,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0
4,"mod1a",3,3,7,15,31,56,102,139,169,157,124,74,43,16,10,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5,"mod1a",3,2,5,10,15,28,40,64,98,143,158,145,108,63,39,31,16,4,1,2,0,1,0,0,0,0,0,0,0,0,0
6,"mod1a",3,3,8,23,26,49,91,132,168,139,135,93,55,27,11,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"mod1a",3,5,7,14,33,49,77,111,152,151,145,98,66,26,13,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
8,"mod1a",3,6,12,19,36,56,88,131,145,157,122,92,57,24,7,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,"mod1a",3,3,1,6,10,15,31,61,87,128,143,162,133,88,43,29,9,10,6,1,3,0,1,0,0,0,0,0,0,0,0
10,"mod1a",3,2,5,13,21,31,60,103,118,145,162,125,86,55,17,11,4,9,1,0,1,0,0,0,0,0,0,0,0,0,0
11,"mod1a",3,3,2,6,12,23,48,76,119,143,166,146,106,64,32,13,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0
12,"mod1a",3,4,5,10,18,32,57,78,118,157,176,109,108,45,28,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"mod1a",3,6,7,10,22,42,67,117,169,169,155,95,63,14,15,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
14,"mod1a",3,7,10,21,42,72,111,149,155,141,111,66,43,17,13,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
15,"mod1a",3,7,8,17,24,43,65,105,124,155,164,117,82,28,20,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"mod1a",3,4,5,10,15,26,47,77,129,171,154,152,76,44,30,18,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0
17,"mod1a",3,5,1,7,20,40,54,91,119,156,153,132,82,48,35,16,7,7,2,0,0,1,0,0,1,0,0,0,0,0,0
18,"mod1a",3,6,8,13,27,37,71,104,135,151,123,116,73,44,24,14,14,2,2,1,0,0,0,0,0,0,0,0,0,0,0
19,"mod1a",3,7,8,24,40,49,106,133,179,141,137,66,35,18,11,8,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0
20,"mod1a",3,2,4,8,15,29,50,101,127,165,164,117,101,42,20,11,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"mod1b",3,5,18,20,31,55,75,101,134,134,151,101,70,36,16,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"mod1b",3,2,5,9,16,29,56,88,144,172,156,113,76,56,28,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"mod1b",3,2,9,13,25,41,71,119,131,156,142,103,70,34,30,14,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0
4,"mod1b",3,3,7,15,31,56,102,139,169,157,124,74,43,16,10,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5,"mod1b",3,2,5,10,15,28,40,64,98,143,158,145,108,63,39,31,16,4,1,2,0,1,0,0,0,0,0,0,0,0,0
6,"mod1b",3,3,8,23,26,49,91,132,168,139,135,93,55,27,11,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"mod1b",3,5,7,14,33,49,77,111,152,151,145,98,66,26,13,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
8,"mod1b",3,6,12,19,36,56,88,131,145,157,122,92,57,24,7,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,"mod1b",3,3,1,6,10,15,31,61,87,128,143,162,133,88,43,29,9,10,6,1,3,0,1,0,0,0,0,0,0,0,0
10,"mod1b",3,2,5,13,21,31,60,103,118,145,162,125,86,55,17,11,4,9,1,0,1,0,0,0,0,0,0,0,0,0,0
11,"mod1b",3,3,2,6,12,23,48,76,119,143,166,146,106,64,32,13,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0
12,"mod1b",3,4,5,10,18,32,57,78,118,157,176,109,108,45,28,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"mod1b",3,6,7,10,22,42,67,117,169,169,155,95,63,14,15,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
14,"mod1b",3,7,10,21,42,72,111,149,155,141,111,66,43,17,13,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
15,"mod1b",3,7,8,17,24,43,65,105,124,155,164,117,82,28,20,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"mod1b",3,4,5,10,15,26,47,77,129,171,154,152,76,44,30,18,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0
17,"mod1b",3,5,1,7,20,40,54,91,119,156,153,132,82,48,35,16,7,7,2,0,0,1,0,0,1,0,0,0,0,0,0
18,"mod1b",3,6,8,13,27,37,71,104,135,151,123,116,73,44,24,14,14,2,2,1,0,0,0,0,0,0,0,0,0,0,0
19,"mod1b",3,7,8,24,40,49,106,133,179,141,137,66,35,18,11,8,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0
20,"mod1b",3,2,4,8,15,29,50,101,127,165,164,117,101,42,20,11,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"mod2a",3,5,20,23,38,64,108,137,158,139,113,78,51,19,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"mod2a",3,2,5,9,16,29,60,89,163,186,160,118,77,25,15,12,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
3,"mod2a",3,3,9,17,31,56,98,131,160,172,124,81,38,24,15,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
4,"mod2a",3,3,7,17,30,62,112,160,177,169,116,62,36,9,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
