pop,x,y,status,inftime,rem_time
1,209.0053805377043,190.61282004631732,2,4,7
1,105.21848301232319,222.5531094209909,0,0,0
1,130.49953264930005,242.13751971532471,0,0,0
1,287.7608706280687,191.04513980077832,2,31,34
1,126.9960202432256,146.53921615834784,2,11,14
1,291.8611973636473,211.16025778636651,0,0,0
1,219.32457567662567,230.0531513433734,2,13,16
1,195.46172572161223,293.18836545241635,2,45,48
1,242.82144714463584,119.26436337476855,2,31,34
1,210.5471569424957,134.4233629429331,2,24,27
1,128.94476432430275,264.7028515957099,0,0,0
1,196.5893415237989,212.13095269878124,0,0,0
1,285.55523485979256,273.9811420828911,2,14,17
1,125.18922371697198,119.60256810451872,2,8,11
1,127.04777947202619,187.94671466148796,2,4,7
1,238.16246994254146,127.74579846387432,2,18,21
1,204.87198262404308,264.136241670631,2,36,39
1,216.39955577357426,283.47816909469475,0,0,0
1,232.22796047865384,110.61291068456127,2,24,27
1,222.48700164032186,130.85767612855523,2,37,40
1,288.8709239676988,290.8379061511065,2,30,33
1,118.98193159772796,200.501454047082,0,0,0
1,135.7553011829257,228.02040551189654,0,0,0
1,193.64879706327764,294.94414302535694,2,32,35
1,288.7248153637912,276.29205314795024,2,10,13
1,170.6435485216635,155.8160947521103,2,4,7
1,158.445652617831,185.27157582048602,2,8,11
1,197.02038809786464,281.0078704575208,2,33,36
1,130.29056094229534,138.5045851734464,2,7,10
1,184.77014069260332,289.7556360355592,2,16,19
1,271.2292176921345,291.9553256257385,2,24,27
1,105.8228744989241,285.4596416235954,0,0,0
1,270.5521089230497,219.3286090008396,2,23,26
1,259.1473277435774,191.21345640947152,2,8,11
1,222.30213012372857,152.87649160688042,2,9,12
1,210.6552171802094,179.37189323129874,2,4,7
1,151.44188476616526,221.92241340247864,2,7,10
1,118.91279102220304,253.6408116601637,2,47,50
1,148.74412518026907,185.88330879245768,2,10,13
1,291.01656747375796,230.78554360774243,0,0,0
1,283.79796040149785,254.9968622138808,1,51,54
1,117.93244422996672,291.16101863688766,2,16,19
1,291.6471627797122,245.18386262071476,0,0,0
1,153.74738773392738,200.2154713276406,2,40,43
1,156.06252749599815,290.63577176210504,2,26,29
1,286.70894915461173,244.19114561290604,2,21,24
1,117.53019511471565,125.96753308115083,2,27,30
1,131.29348006794586,289.1280934773588,2,22,25
1,210.8190354128044,178.85346007726662,2,5,8
1,163.86774645612093,179.0650215177301,1,50,53
1,165.98495354707978,107.20267596724793,2,41,44
1,215.460540080594,105.59721213445418,2,12,15
1,173.42984178765244,206.60748406937932,2,7,10
1,258.29599923578013,275.63558761411207,2,22,25
1,237.08413108753234,290.96369092670557,2,21,24
1,150.1320718825471,126.35343949258713,2,7,10
1,239.8028178680076,212.45625900609744,2,11,14
1,172.20075722023816,209.72111440832353,2,11,14
1,263.5219520147849,169.2287973995184,2,10,13
1,144.09803567636115,170.96235689069528,2,3,6
1,241.95669909069548,127.28667994625245,2,13,16
1,286.4759584905461,150.10495211574477,2,33,36
1,299.1584935511177,224.45221737807924,0,0,0
1,117.18447718487299,294.8266129775423,2,19,22
1,237.70994494335272,239.14683041050864,2,45,48
1,159.20855025178292,217.05124854301351,0,0,0
1,219.9112149943283,231.35612345121933,2,13,16
1,248.9813904530799,246.7151493543678,2,17,20
