delta1,0.6423386294147703,0.45639906284008214,0.8238590635648162,mod3a,mod3a,a24b2d80d03,3
delta2,0.11677762431119179,0.010547461597852364,0.2747899018072199,mod3a,mod3a,a24b2d80d03,3
alpha,3.156367643166506,1.5101665849788761,5.242701009319208,mod3a,mod3a,a24b2d80d03,1
beta,1.951058662392124,1.8566443160159642,2.0460240711684787,mod3a,mod3a,a24b2d80d03,1
delta1,0.7597020861628115,0.625114180474039,0.8854915585692099,mod3a,mod3a,a24b2d80d03,1
delta2,0.0722120656032586,0.012916521992479888,0.208265265581195,mod3a,mod3a,a24b2d80d03,1
alpha,2.1212871172069465,1.5107607319914342,2.778355683989814,mod1a,mod1a,a22b2d80h40,4
beta,1.9365452373796819,1.8386189077699813,2.0298861331440645,mod1a,mod1a,a22b2d80h40,4
delta1,0.7889755764002775,0.7493934421043521,0.8262301751383568,mod1a,mod1a,a22b2d80h40,4
delta2,37.048412901504435,33.36280575184242,40.95014995972923,mod1a,mod1a,a22b2d80h40,4
alpha,2.597186849411264,1.888150558672496,3.360547332697039,mod2a,mod2a,a24b2d005,1
beta,1.9852158526034969,1.8967201606235105,2.0719310433159803,mod2a,mod2a,a24b2d005,1
delta1,0.004221486119094346,0.003158523983719753,0.00521286918518094,mod2a,mod2a,a24b2d005,1
alpha,1.969276562807252,1.4455108788624413,2.5719206122385985,mod2a,mod2a,a24b2d005,5
beta,1.8966182739687691,1.8093228160586854,1.973082991885815,mod2a,mod2a,a24b2d005,5
delta1,0.0037642885506033517,0.0027911748219431294,0.004790512422124335,mod2a,mod2a,a24b2d005,5
alpha,1.8447539033204872,1.2379371111731567,2.5047475965698367,mod3a,mod3a,a24b2d80d02,11
beta,1.9077086523865758,1.8166042345759938,1.9962946417004603,mod3a,mod3a,a24b2d80d02,11
delta1,0.8441714725031395,0.6763520670125903,0.9999565998813795,mod3a,mod3a,a24b2d80d02,11
delta2,0.013513336395538086,0.006917185286762575,0.02242224295725786,mod3a,mod3a,a24b2d80d02,11
alpha,1.9505849551241505,1.4368107642310304,2.5193067338584134,mod2a,mod2a,a24b2d005,9
beta,1.8983865851587858,1.816835905272366,1.987611305163175,mod2a,mod2a,a24b2d005,9
delta1,0.0040348850757233184,0.003155570663658861,0.004885020204759768,mod2a,mod2a,a24b2d005,9
alpha,2.2190343273127393,1.5976155766814515,2.8767075173515315,mod2a,mod2a,a24b2d005,10
beta,1.9372863450419766,1.8527865125265182,2.0217233440548337,mod2a,mod2a,a24b2d005,10
delta1,0.004038857522541009,0.003033953232419342,0.005096972458371025,mod2a,mod2a,a24b2d005,10
alpha,2.254011714528467,1.6207822808520325,2.9329930450768504,mod1a,mod1a,a22b2d80h40,5
beta,1.9508688960767118,1.8551569507677674,2.0434601489870277,mod1a,mod1a,a22b2d80h40,5
delta1,0.755046082772189,0.7125593535636314,0.796703926961872,mod1a,mod1a,a22b2d80h40,5
delta2,38.50904472253611,36.151339785232466,40.879488303975265,mod1a,mod1a,a22b2d80h40,5
alpha,1.937409359947817,1.4022710938335663,2.488540445294579,mod2a,mod2a,a24b2d005,14
beta,1.9003018721368456,1.8170655102915911,1.985433951285661,mod2a,mod2a,a24b2d005,14
delta1,0.0039179277263372775,0.0029736872459519147,0.004905462226192813,mod2a,mod2a,a24b2d005,14
alpha,1.8150492998384506,1.2778563356294494,2.3610804367855143,mod2a,mod2a,a24b2d005,8
beta,1.894717061170589,1.8085151370284185,1.978783199603674,mod2a,mod2a,a24b2d005,8
delta1,0.003985339099701573,0.0028513525597680983,0.005111616623511409,mod2a,mod2a,a24b2d005,8
alpha,1.5021775314576145,1.0123359918617976,2.036014247144118,mod3a,mod3a,a24b2d80d02,9
beta,1.9045167834998178,1.8126181448156047,1.99109471538151,mod3a,mod3a,a24b2d80d02,9
delta1,0.733668298221123,0.5185182240410608,0.9996704325128063,mod3a,mod3a,a24b2d80d02,9
delta2,0.012910965765927991,0.0042502807122928934,0.025817834850270588,mod3a,mod3a,a24b2d80d02,9
alpha,2.637992714724623,1.924965201693807,3.385478264361067,mod2a,mod2a,a24b2d005,2
beta,1.9837868080704615,1.8954224543373677,2.068209908275951,mod2a,mod2a,a24b2d005,2
delta1,0.004201608666304603,0.0033214585809977653,0.005087349114858955,mod2a,mod2a,a24b2d005,2
alpha,3.0710869489380337,2.2200284501391407,3.917804166364855,mod2a,mod2a,a24b2d005,3
beta,2.0175547661132267,1.9324793598515972,2.102008922404843,mod2a,mod2a,a24b2d005,3
delta1,0.00431094010618996,0.003338000166839287,0.005278155882602298,mod2a,mod2a,a24b2d005,3
alpha,1.5948543640532393,0.9113987903647323,2.489013362496994,mod3a,mod3a,a24b2d80d03,14
beta,1.9085763243154643,1.8126622879877863,1.998132087243636,mod3a,mod3a,a24b2d80d03,14
delta1,0.6920628627206223,0.49737643551543087,0.9872261074747142,mod3a,mod3a,a24b2d80d03,14
delta2,0.03222991932909373,0.003670192411084457,0.09585723317530864,mod3a,mod3a,a24b2d80d03,14
alpha,2.083845548962523,1.393493140800611,2.8368190523384085,mod3a,mod3a,a24b2d80d02,18
beta,1.9339178820130705,1.846736508984298,2.0227604851003353,mod3a,mod3a,a24b2d80d02,18
delta1,0.8299307739471573,0.671445425948239,0.9998982473684839,mod3a,mod3a,a24b2d80d02,18
delta2,0.015260293698449823,0.007230803170084154,0.02647882036713583,mod3a,mod3a,a24b2d80d02,18
alpha,1.8123999848808072,1.152941807657033,2.5163074818443443,mod3a,mod3a,a24b2d80d02,1
beta,1.8899102862769654,1.7968565288798737,1.9784171273043536,mod3a,mod3a,a24b2d80d02,1
delta1,0.8114594027327087,0.6565812935465127,0.9996344319910868,mod3a,mod3a,a24b2d80d02,1
delta2,0.015371573382983008,0.006416245039203287,0.027311848760046598,mod3a,mod3a,a24b2d80d02,1
alpha,1.5386015007331932,1.0952299886623555,2.0149775545588193,mod1a,mod1a,a22b2d80h40,8
beta,1.839773438716113,1.7459624799820501,1.9333781974082143,mod1a,mod1a,a22b2d80h40,8
delta1,0.7847285670399022,0.7454854867682552,0.822367757912206,mod1a,mod1a,a22b2d80h40,8
delta2,40.3237733643936,37.003411971868076,43.564644398603775,mod1a,mod1a,a22b2d80h40,8
alpha,2.053874904947042,1.4827354397237902,2.686982405431942,mod2a,mod2a,a24b2d005,6
beta,1.9064866175081434,1.8196720787825884,1.9977178709982826,mod2a,mod2a,a24b2d005,6
delta1,0.004350863796633461,0.0034414425638328605,0.005344861372287253,mod2a,mod2a,a24b2d005,6
alpha,1.4273438124250948,0.868623876785892,2.0328128561636394,mod3a,mod3a,a24b2d80d03,4
beta,1.7796323726104435,1.6790217189559216,1.8798606943765175,mod3a,mod3a,a24b2d80d03,4
delta1,0.8554114206888846,0.7366298747715376,0.999954541099069,mod3a,mod3a,a24b2d80d03,4
delta2,0.024858093480675632,0.012267048138491781,0.04075500109184218,mod3a,mod3a,a24b2d80d03,4
alpha,1.6075959877403914,0.9211452246724734,2.387496131975734,mod3a,mod3a,a24b2d80d03,5
beta,1.876696731420931,1.784402840426934,1.967674585056463,mod3a,mod3a,a24b2d80d03,5
delta1,0.659242715912824,0.44797685238782214,0.8857395706965885,mod3a,mod3a,a24b2d80d03,5
delta2,0.0344211719004594,0.0070942982252776106,0.06607464945842208,mod3a,mod3a,a24b2d80d03,5
alpha,1.8073555308203955,1.2437569748739934,2.43360054661755,mod1a,mod1a,a22b2d80h40,17
beta,1.872272758579486,1.7705854264326801,1.9779020259678903,mod1a,mod1a,a22b2d80h40,17
delta1,0.7625131079633929,0.7197445028744658,0.803754728806994,mod1a,mod1a,a22b2d80h40,17
delta2,40.508904340677795,38.228984405008646,42.968064006813215,mod1a,mod1a,a22b2d80h40,17
alpha,1.9329614579676389,1.3609374424996623,2.5587717092746782,mod1a,mod1a,a22b2d80h40,2
beta,1.900230806808393,1.8014213175860219,1.9986119186063644,mod1a,mod1a,a22b2d80h40,2
delta1,0.74862120212295,0.7039192068916817,0.7896719413286515,mod1a,mod1a,a22b2d80h40,2
delta2,40.00535575203729,39.040693594645084,40.945926304937935,mod1a,mod1a,a22b2d80h40,2
alpha,1.7074868392816167,1.216480991513816,2.2389904162052474,mod1a,mod1a,a22b2d50h40,13
beta,1.8737994302462369,1.780188374074811,1.9619070725316792,mod1a,mod1a,a22b2d50h40,13
delta1,0.4509741123024201,0.3601363229646067,0.5391517777412838,mod1a,mod1a,a22b2d50h40,13
delta2,55.16611578657685,41.006006035632886,71.6057495912839,mod1a,mod1a,a22b2d50h40,13
alpha,2.326479647013699,1.6437129497476055,3.049927099597425,mod1a,mod1a,a22b2d80h40,16
beta,1.933708637526417,1.8370715036190144,2.027870483890203,mod1a,mod1a,a22b2d80h40,16
delta1,0.7682649330739132,0.7284237468305464,0.8080679806488358,mod1a,mod1a,a22b2d80h40,16
delta2,40.99206916133779,39.116604996159715,42.90794698608678,mod1a,mod1a,a22b2d80h40,16
alpha,1.7260683174724,1.1129509920269507,2.3661873415300083,mod3a,mod3a,a24b2d80d03,9
beta,1.9572310941045612,1.871915968461971,2.042905522078027,mod3a,mod3a,a24b2d80d03,9
delta1,0.7337917114382386,0.5010664166336324,0.9998683173685583,mod3a,mod3a,a24b2d80d03,9
delta2,0.018731494415029647,0.00527698707214321,0.03802982735674334,mod3a,mod3a,a24b2d80d03,9
alpha,2.588783631144836,1.901862852023678,3.3579799074376173,mod2a,mod2a,a24b2d005,16
beta,1.9419187792566757,1.851293012462865,2.0221003205166954,mod2a,mod2a,a24b2d005,16
delta1,0.004676685665260226,0.0037657808659657048,0.005616065545417672,mod2a,mod2a,a24b2d005,16
alpha,2.177688723232542,1.533777508715507,2.840647219532482,mod2a,mod2a,a24b2d005,17
beta,1.887613462907441,1.7993989857384207,1.9767352286701296,mod2a,mod2a,a24b2d005,17
delta1,0.0047211993706686725,0.0038137561940921956,0.005708596422819049,mod2a,mod2a,a24b2d005,17
alpha,1.986234955077275,1.2925176184923002,2.731518780421264,mod3a,mod3a,a24b2d80d02,16
beta,1.9248047745700063,1.8394835368739855,2.0117214635551948,mod3a,mod3a,a24b2d80d02,16
delta1,0.7447568827520205,0.5506820524837468,0.9998854386299564,mod3a,mod3a,a24b2d80d02,16
delta2,0.015319383519677158,0.005142481309964788,0.030502880733623693,mod3a,mod3a,a24b2d80d02,16
alpha,1.9914108003373379,1.4012520796411128,2.608153477212192,mod1a,mod1a,a22b2d80h40,11
beta,1.910872323355783,1.8116110842335211,2.006809825643957,mod1a,mod1a,a22b2d80h40,11
delta1,0.7755346303659325,0.7339431024952716,0.8148466534445429,mod1a,mod1a,a22b2d80h40,11
delta2,39.997184711088074,39.0798577614891,40.97959251133748,mod1a,mod1a,a22b2d80h40,11
alpha,2.0075722628879515,1.4024448130959601,2.61072834198364,mod2a,mod2a,a24b2d005,13
beta,1.890044153139271,1.803494084980621,1.9803800217497263,mod2a,mod2a,a24b2d005,13
delta1,0.004675332786438567,0.003680808051112299,0.005605470014047447,mod2a,mod2a,a24b2d005,13
alpha,1.8564158716990158,1.305565697027082,2.446066132688369,mod1a,mod1a,a22b2d80h40,6
beta,1.8824167434889052,1.785297723632934,1.981012719853196,mod1a,mod1a,a22b2d80h40,6
delta1,0.7604292356756779,0.7200407867873043,0.8004157983898297,mod1a,mod1a,a22b2d80h40,6
delta2,40.50230596274438,40.05218524145513,40.99935233310606,mod1a,mod1a,a22b2d80h40,6
alpha,2.2393537971765842,1.5401818689458673,3.005662794112577,mod3a,mod3a,a24b2d80d02,13
beta,1.9569677158017358,1.870588133865746,2.040638775441648,mod3a,mod3a,a24b2d80d02,13
delta1,0.8416049382164997,0.701486137211515,0.9999882769833373,mod3a,mod3a,a24b2d80d02,13
delta2,0.014864241706220293,0.007411150559789913,0.024826993099662426,mod3a,mod3a,a24b2d80d02,13
alpha,2.1349300798432247,1.5290637842943628,2.778157038076537,mod1a,mod1a,a22b2d80h40,14
beta,1.9557235450414372,1.8608368930554713,2.053766824772932,mod1a,mod1a,a22b2d80h40,14
delta1,0.7439643036125235,0.6991887939235325,0.7883777135266815,mod1a,mod1a,a22b2d80h40,14
delta2,39.50778530820262,38.11112271160457,40.95884600434785,mod1a,mod1a,a22b2d80h40,14
alpha,2.041739871276009,1.4739131665379366,2.6582929987909276,mod1a,mod1a,a22b2d80h40,12
beta,1.9347077517012783,1.841165748356083,2.028907760293802,mod1a,mod1a,a22b2d80h40,12
delta1,0.7671475897530766,0.7257430487835287,0.8066960732117157,mod1a,mod1a,a22b2d80h40,12
delta2,40.4993015759054,37.360364208682206,43.99346964977121,mod1a,mod1a,a22b2d80h40,12
alpha,1.8390040936856733,1.1906466871886154,2.601538237797787,mod3a,mod3a,a24b2d80d02,15
beta,1.9165830207332344,1.8310719010451595,1.9996278404684773,mod3a,mod3a,a24b2d80d02,15
delta1,0.6632498799454489,0.46198235526701636,0.9558591813960361,mod3a,mod3a,a24b2d80d02,15
delta2,0.019554740652438247,0.004565542636253873,0.04031838795205863,mod3a,mod3a,a24b2d80d02,15
alpha,1.981662773096897,1.4363066341667905,2.547068256964735,mod1a,mod1a,a22b2d50h40,10
beta,1.9037580583374882,1.8222943471195008,1.9876871721163485,mod1a,mod1a,a22b2d50h40,10
delta1,0.4328159924179151,0.3362945407339584,0.5242847890617893,mod1a,mod1a,a22b2d50h40,10
delta2,51.14452178800057,40.003608965483174,63.11845934192521,mod1a,mod1a,a22b2d50h40,10
alpha,1.8542218002146091,1.2386355536098446,2.4779780248392878,mod1a,mod1a,a22b2d50h40,19
beta,1.861705183507854,1.7646542741880464,1.9533155215570768,mod1a,mod1a,a22b2d50h40,19
delta1,0.4579221797078305,0.34573623639670337,0.560544560824058,mod1a,mod1a,a22b2d50h40,19
delta2,34.734491157845284,28.760872714733196,38.999489038053866,mod1a,mod1a,a22b2d50h40,19
alpha,1.8768783886073648,1.3262157082364454,2.457712183446255,mod1a,mod1a,a22b2d80h40,20
beta,1.890562599163101,1.7949634488274908,1.9844746442956722,mod1a,mod1a,a22b2d80h40,20
delta1,0.7756334659703777,0.7358732359136464,0.8139120600501281,mod1a,mod1a,a22b2d80h40,20
delta2,40.007224263719635,36.023056328992865,43.6221508271389,mod1a,mod1a,a22b2d80h40,20
alpha,1.5917688448020624,1.0618288062612584,2.162684987577084,mod3a,mod3a,a24b2d80d02,12
beta,1.8913127169071564,1.803868415208095,1.9789883246768811,mod3a,mod3a,a24b2d80d02,12
delta1,0.7458729860221,0.5718395154149127,0.9835604384376149,mod3a,mod3a,a24b2d80d02,12
delta2,0.013888279355703107,0.005239106268707361,0.025729971175421553,mod3a,mod3a,a24b2d80d02,12
alpha,2.3527980813016396,1.7293381195683744,3.060851496558707,mod2a,mod2a,a24b2d005,4
beta,1.9221475288912844,1.8343586178154856,2.0084205431363937,mod2a,mod2a,a24b2d005,4
delta1,0.005183016687680384,0.004196788480592369,0.006174595071921949,mod2a,mod2a,a24b2d005,4
alpha,2.316540934348576,1.707666558138653,3.0113121657941884,mod2a,mod2a,a24b2d005,7
