alpha,3.212583310886451,1.0599683209440611,6.063906171047858,mod3a,mod3a,a24b2d80d04,9
beta,2.16959889264503,1.9518719528621515,2.378051720438218,mod3a,mod3a,a24b2d80d04,9
delta1,0.43293220731498977,0.0028616308447903874,0.7762362467330347,mod3a,mod3a,a24b2d80d04,9
delta2,0.2628543097854694,6.243848734785624e-5,0.7397291234647472,mod3a,mod3a,a24b2d80d04,9
alpha,2.310391460707342,0.9458059054284138,4.044463861808109,mod3a,mod3a,a24b2d80d02,11
beta,1.980822699773822,1.80805199233264,2.1498763930877955,mod3a,mod3a,a24b2d80d02,11
delta1,0.38786507048081625,0.0007582047240752704,0.7092904254493796,mod3a,mod3a,a24b2d80d02,11
delta2,0.22680343548750898,0.00022738900696293775,0.7432479663640352,mod3a,mod3a,a24b2d80d02,11
alpha,1.8282465899675941,0.7055417002348242,3.3063619251208407,mod3a,mod3a,a24b2d80d02,9
beta,1.9333037729509606,1.7462857786965278,2.10768643259908,mod3a,mod3a,a24b2d80d02,9
delta1,0.2987680790541866,0.001217509792412968,0.6295836041083483,mod3a,mod3a,a24b2d80d02,9
delta2,0.3634183003726882,3.697886061349541e-5,0.813332274483169,mod3a,mod3a,a24b2d80d02,9
alpha,1.6388022700660392,0.6065393456059992,2.8787601068237434,mod3a,mod3a,a24b2d80d03,5
beta,1.8688008704502097,1.6911142676995012,2.0476715028114785,mod3a,mod3a,a24b2d80d03,5
delta1,0.5059973810280171,0.10344541295092122,0.9975688949919841,mod3a,mod3a,a24b2d80d03,5
delta2,0.17314426567302274,0.0005003258155774799,0.6304081644083727,mod3a,mod3a,a24b2d80d03,5
alpha,2.100941905277544,1.2325898506308648,3.0873640535436224,mod2a,mod2a,a24b2d005,9
beta,1.965759589384892,1.813401515198528,2.1133050307983687,mod2a,mod2a,a24b2d005,9
delta1,0.0018228393784366296,1.329211544226147e-7,0.004779258650107981,mod2a,mod2a,a24b2d005,9
alpha,2.296720241447162,0.8687092078683123,4.240693607009632,mod3a,mod3a,a24b2d80d03,9
beta,2.030078114204121,1.834421001921939,2.2250347802566677,mod3a,mod3a,a24b2d80d03,9
